threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B,35499,7417,0.006762849824979234,0.2089354629707879,0.014131756264525267,-1.0632374377202238
0.01,CD4+ T cell,117016,66158,0.06032312508035272,0.5653756751213509,0.04658276545958164,0.3729148733167793
0.01,CD57+ Enterocyte,1895,179,0.000163212905308249,0.09445910290237466,0.0007543783802719902,-2.208526267242018
0.01,CD66+ Enterocyte,49439,8442,0.00769744886375552,0.17075588098464775,0.019681114903570936,-1.35435955202967
0.01,CD7+ Immune,7174,2732,0.0024910483648164037,0.38081962642877054,0.0028558894459478935,-0.1971870260178133
0.01,CD8+ T,200378,101090,0.09217426032184856,0.5044965016119534,0.07976824859215877,0.20854932946150814
0.01,Cycling TA,82846,33310,0.030372189250378625,0.40207131303865,0.03298006928338433,-0.11884352298273136
0.01,DC,32001,17550,0.016002159151730557,0.5484203618636918,0.012739241449648527,0.3289871804725277
0.01,Endothelial,180746,99999,0.09117948222301447,0.5532570568643289,0.07195296819031195,0.34165501045037105
0.01,Enterocyte,484823,210757,0.19216906303938902,0.4347091619003224,0.19300263295968714,-0.00624443111454302
0.01,Goblet,163157,84893,0.0774057719013027,0.5203147888230355,0.0649509833192808,0.2530897765864528
0.01,ICC,33829,19635,0.017903270367192563,0.5804191669869048,0.013466947876633856,0.41080020205391937
0.01,Lymphatic,64496,37200,0.033919106578027165,0.576779955346068,0.025675138793679303,0.40172608103749746
0.01,M1 Macrophage,21825,10792,0.009840188123388957,0.49447880870561284,0.008688289260916193,0.17961374176888875
0.01,M2 Macrophage,112475,62973,0.05741902953059421,0.5598844187597244,0.04477504396891404,0.3588340909708316
0.01,MUC1+ Enterocyte,17869,5300,0.004832560883428602,0.2966030555711008,0.007113449750438097,-0.5577613771504752
0.01,NK,5027,2223,0.002026940159219204,0.442212054903521,0.0020011926742096544,0.01844341183683993
0.01,Nerve,76899,34446,0.03140799852652483,0.44793820465805795,0.03061263486255186,0.0370047845109188
0.01,Neuroendocrine,14970,8095,0.007381052896481987,0.5407481629926519,0.00595939015972121,0.30866187927847333
0.01,Neutrophil,14657,5754,0.005246519872310976,0.3925769257010302,0.005834788348098449,-0.15331952677456612
0.01,Paneth,21381,1614,0.0014716515595950496,0.07548758243300126,0.008511537809285184,-2.531982873984896
0.01,Plasma,128316,38272,0.034896560401996124,0.2982636615854609,0.051081169521361845,-0.5497066998910587
0.01,Smooth muscle,375113,115973,0.10574463836488023,0.3091681706579084,0.14932830467491667,-0.49790313002410475
0.01,Stroma,212923,93217,0.08499562790010641,0.43779676220981295,0.08476227327844484,0.003966351624146662
0.01,TA,57248,28706,0.02617424390937763,0.5014323644494131,0.022789790772459576,0.199760175072408
0.1,B,35499,3856,0.0063873842535075945,0.10862277810642554,0.014131756264525267,-1.145643499934628
0.1,CD4+ T cell,117016,36399,0.060294190727028775,0.3110600259793532,0.04658276545958164,0.3722227098760509
0.1,CD57+ Enterocyte,1895,64,0.00010601467640676506,0.033773087071240104,0.0007543783802719902,-2.8310126327484944
