threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B,35499,1115,0.0027602699370707965,0.031409335474238714,0.014131756264525267,-2.3560590857679125
0.01,CD4+ T cell,117016,31677,0.07841889757541849,0.2707065700417037,0.04658276545958164,0.751405057836147
0.01,CD57+ Enterocyte,1895,0,0.0,0.0,0.0007543783802719902,-19.524930717276575
0.01,CD66+ Enterocyte,49439,158,0.00039114139018581694,0.0031958575213899957,0.019681114903570936,-5.652974315333101
0.01,CD7+ Immune,7174,17,4.208483312125878e-05,0.002369668246445498,0.0028558894459478935,-6.084462150492247
0.01,CD8+ T,200378,24165,0.05982235249265991,0.12059707153479923,0.07976824859215877,-0.41512995108901285
0.01,Cycling TA,82846,639,0.0015818946096755506,0.007713106245322647,0.03298006928338433,-4.381868169610156
0.01,DC,32001,8820,0.021834601654676614,0.27561638698790664,0.012739241449648527,0.7773367882392364
0.01,Endothelial,180746,68311,0.16910923737331227,0.3779392075066668,0.07195296819031195,1.232829348640804
0.01,Enterocyte,484823,9475,0.023456105519054526,0.019543214740224784,0.19300263295968714,-3.0405850711912836
0.01,Goblet,163157,1129,0.0027949280349353627,0.00691971536618104,0.0649509833192808,-4.538467831914503
0.01,ICC,33829,10959,0.02712986389269853,0.32395282154364596,0.013466947876633856,1.0104588376615355
0.01,Lymphatic,64496,19464,0.04818465834542241,0.3017861572810717,0.025675138793679303,0.9082017739843165
0.01,M1 Macrophage,21825,6380,0.01579419031256653,0.2923253150057274,0.008688289260916193,0.8622498636872968
0.01,M2 Macrophage,112475,42536,0.10530120362622727,0.3781818181818182,0.04477504396891404,1.2337551543551122
0.01,MUC1+ Enterocyte,17869,159,0.0003936169686047145,0.008898091667133025,0.007113449750438097,-4.175681598035693
0.01,NK,5027,517,0.0012798740425700465,0.10284463894967177,0.0020011926742096544,-0.6448578339355259
0.01,Nerve,76899,13498,0.03341535749827947,0.17552894055839477,0.03061263486255186,0.12638408063598533
0.01,Neuroendocrine,14970,12,2.9706941026770904e-05,0.0008016032064128256,0.00595939015972121,-7.648172515742401
0.01,Neutrophil,14657,3149,0.007795596441108465,0.21484614859793955,0.005834788348098449,0.41797902118920494
0.01,Paneth,21381,152,0.00037628791967243147,0.007109115569898508,0.008511537809285184,-4.499507268645041
0.01,Plasma,128316,25943,0.0642239309214598,0.20218055425667883,0.051081169521361845,0.33031940785800806
0.01,Smooth muscle,375113,48938,0.12114985666400954,0.13046202077773897,0.14932830467491667,-0.30169494921398304
0.01,Stroma,212923,86478,0.21408307050942452,0.4061468230299216,0.08476227327844484,1.336676517323063
0.01,TA,57248,255,0.0006312724968188817,0.004454304080491895,0.022789790772459576,-5.173978749976906
0.1,B,35499,541,0.0026595090968975672,0.015239865911715823,0.014131756264525267,-2.4097084546561107
0.1,CD4+ T cell,117016,15300,0.07521347353518074,0.13075135024270185,0.04658276545958164,0.6911948237287422
0.1,CD57+ Enterocyte,1895,0,0.0,0.0,0.0007543783802719902,-19.524930717276575
0.1,CD66+ Enterocyte,49439,79,0.00038835715093328614,0.0015979287606949979,0.019681114903570936,-5.663280466599379
0.1,CD7+ Immune,7174,10,4.915913302952989e-05,0.0013939224979091162,0.0028558894459478935,-5.860308007649828
0.1,CD8+ T,200378,11619,0.05711799666701078,0.057985407579674415,0.07976824859215877,-0.48186921522229786
0.1,Cycling TA,82846,222,0.0010913327532555636,0.0026796707143374454,0.03298006928338433,-4.917430191964355
0.1,DC,32001,4264,0.020961454323791547,0.13324583606762289,0.012739241449648527,0.7184593955962948
0.1,Endothelial,180746,33770,0.16601039224072245,0.1868367764708486,0.07195296819031195,1.2061474385728028
0.1,Enterocyte,484823,4659,0.022903240078457978,0.009609692609467785,0.19300263295968714,-3.0749968602534663
0.1,Goblet,163157,412,0.0020253562808166315,0.0025251751380572086,0.0649509833192808,-5.003103057080483
0.1,ICC,33829,5520,0.0271358414323005,0.16317360844246062,0.013466947876633856,1.0107766725226461
0.1,Lymphatic,64496,9857,0.048456157427207616,0.1528311833291987,0.025675138793679303,0.9163079017759542
0.1,M1 Macrophage,21825,3210,0.015780081702479094,0.1470790378006873,0.008688289260916193,0.8609605594168664
0.1,M2 Macrophage,112475,22216,0.1092119299384036,0.19751944876639252,0.04477504396891404,1.2863636868909838
0.1,MUC1+ Enterocyte,17869,84,0.0004129367174480511,0.004700878616598579,0.007113449750438097,-4.106553479732459
0.1,NK,5027,243,0.0011945669326175763,0.0483389695643525,0.0020011926742096544,-0.7443718978568409
0.1,Nerve,76899,6372,0.031324199566416445,0.08286193578590098,0.03061263486255186,0.03315041894073978
0.1,Neuroendocrine,14970,4,1.9663653211811957e-05,0.0002672010688042752,0.00595939015972121,-8.243416390845184
0.1,Neutrophil,14657,1543,0.0075852542264564626,0.10527393054513202,0.005834788348098449,0.3785171530469365
