threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B,12730,1693,0.0009152469436806875,0.13299293008641005,0.002536281476637819,-1.4704809012558588
0.01,Bcatenin+ Tumor,40647,12769,0.006903005448233136,0.31414372524417544,0.008098368670926743,-0.23040666811235375
0.01,CD163+ CD206+ Macrophage,215013,96197,0.0520047313888075,0.4474008548320334,0.042838451621078355,0.27973654425006217
0.01,CD4+ T,195030,77942,0.042135958230573034,0.39964108085935496,0.038857107336109496,0.11687342609728107
0.01,CD4+ Treg,24042,9952,0.005380116706148967,0.4139422676981948,0.004790045503639155,0.1675980741160991
0.01,CD56+ Tumor,87928,41367,0.022363272486260483,0.47046447093076155,0.01751847271624589,0.35225429543007053
0.01,CD68+ Macrophage,96998,39821,0.02152749471016459,0.41053423781933646,0.019325548363779668,0.15567107484737036
0.01,CD73+ Stromal,69695,16094,0.008700522334079731,0.23092043905588636,0.013885792420602734,-0.6744355272972441
0.01,CD8+ T,70588,26198,0.014162811240724542,0.3711395704652349,0.014063710673441508,0.010130364252588711
0.01,DC,256280,110480,0.05972621520250582,0.43109099422506636,0.05106034696250906,0.2261609571646398
0.01,EZH2+ Ki67+ Tumor,58421,28892,0.015619205373196943,0.4945481932866606,0.011639599383083898,0.42427962290104826
0.01,EZH2+ Tumor,111642,51533,0.027859079001002283,0.46159151573780477,0.02224316862645714,0.3247852310438314
0.01,Endothelial,197444,78241,0.04229759959865367,0.39626932193432063,0.03933806440481363,0.10464981691971137
0.01,Epithelial,358688,29893,0.016160352561988653,0.08333983852261576,0.07146376514471847,-2.1447531838084393
0.01,FAP+ Fibroblast,285193,91019,0.0492054705061267,0.3191487869618118,0.05682087377586564,-0.2076022944575719
0.01,FAP+ Tumor,81327,34149,0.018461174175872296,0.4198974510310229,0.01620331214850934,0.18820555677635722
0.01,FDCs,239,0,0.0,0.0,4.761753911362441e-05,-15.539235740479857
0.01,GZMB+ CD8+ T,20733,7032,0.0038015454860972206,0.3391694400231515,0.004130771708965586,-0.11982524698320428
0.01,GZMB+ PD1+ CD8+ T,19108,6261,0.0033847378112136944,0.32766380573581744,0.0038070122903060056,-0.1696150961417682
0.01,GZMB+ TCF1/7+ CD8+ T,3272,398,0.00021516141971938193,0.12163814180929096,0.0006519020417563978,-1.599231288121203
0.01,GZMB+ TCF1/7+ PD1+ CD8+ T,461,1,5.406065822095024e-07,0.0021691973969631237,9.18480566166563e-05,-7.405875820975592
0.01,LDHA+ SOX10/S100+ Tumor,588,7,3.7842460754665166e-06,0.011904761904761904,0.0001171511004134358,-4.95185191863037
0.01,LDHA+ Tumor,130107,59774,0.03231421784499079,0.45942186046869116,0.025922071805256616,0.31798803174764845
0.01,MHCI+ PDL1+ Tumor,55674,17300,0.00935249387222439,0.3107375076337249,0.011092296538125213,-0.24613504575471598
0.01,MHCI+ Tumor,221889,82295,0.044489218682930994,0.3708836400182073,0.04420840224428037,0.009135167859062042
0.01,MelanA+ Tumor,202618,94912,0.05131005193066829,0.46842827389471814,0.04036891439382574,0.3459966878599145
0.01,NK,29423,10882,0.005882880827603805,0.36984671855351253,0.005862137461674357,0.005096012018151
0.01,Nerve,7899,2631,0.0014223359177932006,0.3330801367261679,0.0015737696295335534,-0.14596204383009306
0.01,Neutrophil,82914,15516,0.008388051729562638,0.18713365655980896,0.016519500577686422,-0.9777623230303284
0.01,PD1+ CD8+ T,16884,5607,0.0030311811064486797,0.332089552238806,0.0033639101690143705,-0.15025908024395124
0.01,PD1+ TCF1/7+ CD8+ T,2024,28,1.5136984301866066e-05,0.01383399209486166,0.00040325480822584023,-4.735450291958591
0.01,PDL1+ CD56+ Tumor,13640,5596,0.003025234434044375,0.41026392961876834,0.0027175867510871843,0.1547208014370812
0.01,PDPN+ Stromal,82846,15740,0.008509147603977568,0.18999106776428554,0.01650595249124405,-0.9558997872562001
0.01,PTEN+ Tumor,196025,77033,0.041644546847344595,0.3929753857926285,0.03905534771861182,0.092607486383722
0.01,SOX10/S100+ Tumor,220288,123390,0.0667054461788305,0.5601303747821035,0.04388942450318868,0.6039311909958248
0.01,Smooth Muscle,103748,24626,0.013312977693491206,0.23736361182866175,0.020670395179750233,-0.6347326393672589
0.01,Stromal,848410,267216,0.1444587284716944,0.31496092691033817,0.16903429439075351,-0.22665859788772588
0.01,TCF1/7+ CD8+ T,28813,7450,0.0040275190374607925,0.2585638427098879,0.005740603156823683,-0.5113108114943622
0.01,Tumor,569890,279839,0.15128280535892494,0.4910403762129534,0.1135429262153281,0.4140101903585243
0.1,B,12730,814,0.0008582451101643002,0.06394344069128044,0.002536281476637819,-1.5632521149772205
0.1,Bcatenin+ Tumor,40647,6499,0.006852254264075906,0.1598887986813295,0.008098368670926743,-0.24105260353381458
0.1,CD163+ CD206+ Macrophage,215013,51647,0.054454281578200994,0.24020408068349355,0.042838451621078355,0.3461391456503717
0.1,CD4+ T,195030,41852,0.04412687266658021,0.2145926267753679,0.038857107336109496,0.1834789952064247
0.1,CD4+ Treg,24042,5308,0.005596517253995215,0.22078030113967223,0.004790045503639155,0.22448990420310722
0.1,CD56+ Tumor,87928,20605,0.02172498832301647,0.23433945955782004,0.01751847271624589,0.3104783813100916
0.1,CD68+ Macrophage,96998,21391,0.02255371148835939,0.2205303202127879,0.019325548363779668,0.22285550409766147
0.1,CD73+ Stromal,69695,8223,0.008669962580934939,0.11798550828610374,0.013885792420602734,-0.6795117753051076
0.1,CD8+ T,70588,14241,0.015015072007186485,0.2017481724939083,0.014063710673441508,0.09443409112126092
0.1,DC,256280,58543,0.061725114845637134,0.2284337443421258,0.05106034696250906,0.2736542696628563
0.1,EZH2+ Ki67+ Tumor,58421,13895,0.014650265117608047,0.23784255661491588,0.011639599383083898,0.33188534327286706
0.1,EZH2+ Tumor,111642,23445,0.024719357012041792,0.21000161229644757,0.02224316862645714,0.15227889028937125
0.1,Endothelial,197444,40131,0.04231232741523775,0.2032525678166974,0.03933806440481363,0.10515206880459527
0.1,Epithelial,358688,15700,0.016553376203414634,0.04377063074315282,0.07146376514471847,-2.1100863617839125
0.1,FAP+ Fibroblast,285193,48401,0.051031844689265714,0.16971314162689827,0.05682087377586564,-0.15502322126103946
0.1,FAP+ Tumor,81327,17672,0.018632564602977287,0.21729560908431395,0.01620331214850934,0.20153750301105014
0.1,FDCs,239,0,0.0,0.0,4.761753911362441e-05,-15.539235740479857
0.1,GZMB+ CD8+ T,20733,3637,0.0038346897612623583,0.17542082670139392,0.004130771708965586,-0.10730143973503985
0.1,GZMB+ PD1+ CD8+ T,19108,3236,0.0034118933372133606,0.1693531505128742,0.0038070122903060056,-0.15808663776912885
0.1,GZMB+ TCF1/7+ CD8+ T,3272,204,0.00021508845512717106,0.06234718826405868,0.0006519020417563978,-1.5997206092026732
0.1,GZMB+ TCF1/7+ PD1+ CD8+ T,461,0,0.0,0.0,9.18480566166563e-05,-16.48697728301497
0.1,LDHA+ SOX10/S100+ Tumor,588,3,3.1630655165760448e-06,0.00510204081632653,0.0001171511004134358,-5.210459536988076
0.1,LDHA+ Tumor,130107,28938,0.03051092997289253,0.22241693375452512,0.025922071805256616,0.23514511622622383
0.1,MHCI+ PDL1+ Tumor,55674,8551,0.00901579107741392,0.15359054495814922,0.011092296538125213,-0.2990320711333113
0.1,MHCI+ Tumor,221889,42477,0.04478584464920022,0.1914335546151454,0.04420840224428037,0.018722220721713454
0.1,MelanA+ Tumor,202618,42010,0.04429346078378655,0.20733597212488525,0.04036891439382574,0.1338489304493429
0.1,NK,29423,5664,0.0059718676952955725,0.19250246405872956,0.005862137461674357,0.02675540060312455
0.1,Nerve,7899,1419,0.0014961299893404693,0.1796429927838967,0.0015737696295335534,-0.07298879774861301
0.1,Neutrophil,82914,8341,0.008794376491253596,0.10059821019369466,0.016519500577686422,-0.9095167933133076
0.1,PD1+ CD8+ T,16884,2999,0.0031620111614038527,0.17762378583274105,0.0033639101690143705,-0.0892966923181949
0.1,PD1+ TCF1/7+ CD8+ T,2024,13,1.3706617238496194e-05,0.006422924901185771,0.00040325480822584023,-4.878645595260096
0.1,PDL1+ CD56+ Tumor,13640,3058,0.003224218116563182,0.22419354838709676,0.0027175867510871843,0.24662317141799547
0.1,PDPN+ Stromal,82846,8228,0.008675234356795899,0.09931680467373198,0.01650595249124405,-0.928011677155975
0.1,PTEN+ Tumor,196025,40100,0.0422796424048998,0.20456574416528503,0.03905534771861182,0.11444306653197948
0.1,SOX10/S100+ Tumor,220288,60130,0.06339837650390585,0.27296085124927366,0.04388942450318868,0.5305725333146271
0.1,Smooth Muscle,103748,12475,0.013153080773095386,0.12024328179820334,0.020670395179750233,-0.6521651772513635
0.1,Stromal,848410,134306,0.14160622575642076,0.15830317888756615,0.16903429439075351,-0.2554312793095683
0.1,TCF1/7+ CD8+ T,28813,4027,0.004245888278417244,0.13976330128761322,0.005740603156823683,-0.4351358279923756
0.1,Tumor,569890,150264,0.15843162559426094,0.2636719366895366,0.1135429262153281,0.48062251837490244
0.25,B,12730,411,0.0008853389167846041,0.03228593872741555,0.002536281476637819,-1.518412059561339
