threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B cell,12540,2275,0.0224027572624323,0.1814194577352472,0.019421956723419877,0.2059877390651439
0.01,CD4+ T cell,15029,4965,0.04889217134416544,0.330361301483798,0.023276920860947153,1.0707032186920906
0.01,CD4+ T cell PD1+,7217,2251,0.022166420482520925,0.31190245254260773,0.011177692318414771,0.9877533847087003
0.01,CD4+ Treg,10300,2629,0.02588872476612506,0.25524271844660196,0.015952643879682992,0.6985283216154414
0.01,CD8+ T cell,24316,5854,0.057646479566715904,0.24074683336075012,0.0376606299590652,0.6141753603456007
0.01,CD8+ T cell PD1+,7735,1867,0.018385032003938945,0.24137039431157079,0.011979970913528926,0.6179072406000674
0.01,Chief,9348,52,0.0005120630231413097,0.005562687205819427,0.014478185921094816,-4.821412936208975
0.01,DC,2157,705,0.006942392909896603,0.32684283727399166,0.003340762412473419,1.0552554087538568
0.01,Endothelial,32064,6908,0.06802560315115706,0.2154441117764471,0.04966073527749082,0.45397221315548836
0.01,Endothelial CD36hi,9936,1777,0.017498769079271295,0.17884460547504025,0.015388880542575747,0.18536514316920094
0.01,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.01,Epithelial,20968,6109,0.06015755785327425,0.29134872186188476,0.0324752462979799,0.8894055129739921
0.01,Epithelial CD73hi,2353,324,0.003190546528803545,0.13769655758606034,0.003644327286300396,-0.19184889937115596
0.01,Epithelial CK7+,1179,3,2.9542097488921713e-05,0.002544529262086514,0.0018260356440918685,-5.949750811262584
0.01,Epithelial CK7+ p53+,48958,12405,0.12215657311669129,0.2533804485477348,0.07582616884092426,0.6879637514730123
0.01,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.01,Epithelial Ki67+ p53+,6008,394,0.003879862136878385,0.0655792276964048,0.009305192663022856,-1.2620304145933605
0.01,Epithelial MUC1+ Ki67+,8133,508,0.00500246184145741,0.062461576294110414,0.01259639346344289,-1.33230039125743
0.01,Epithelial p53+,7647,225,0.0022156573116691287,0.029423303256178895,0.01184367648038212,-2.418309791536845
0.01,Epithelial pH2AX+,4907,983,0.009679960610536682,0.20032606480538007,0.007599963448311111,0.3490086561471752
0.01,Foveloar,65508,3724,0.036671590349581486,0.056848018562618306,0.10145881507478383,-1.4681594531226743
0.01,Foveloar Ki67+ p53+,714,28,0.000275726243229936,0.0392156862745098,0.0011058434689411316,-2.003834767580491
0.01,Foveloar p53+,5754,59,0.0005809945839487937,0.010253736531108794,0.008911797367349119,-3.939117488453735
0.01,Goblet,8787,579,0.005701624815361891,0.06589279617616935,0.013609308909783928,-1.2551486469223225
0.01,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.01,Goblet p53+,3441,14,0.000137863121614968,0.004068584713746004,0.005329422096115454,-5.272660414064944
0.01,Lymphatic,9878,2710,0.026686361398325947,0.27434703381251263,0.015299050120728989,0.8026604892889556
0.01,Lymphatic CD73+,431,52,0.0005120630231413097,0.12064965197215777,0.0006675329623440164,-0.382517038101673
0.01,M1 Macrophage,25157,6350,0.06253077301821763,0.25241483483722227,0.038963171075843205,0.6824552402072103
0.01,M2 Macrophage,18904,3937,0.03876907927129493,0.20826280152348708,0.02927852232053663,0.4050637177875284
0.01,Neck,25607,1303,0.012831117676021664,0.05088452376303355,0.03966013124534392,-1.628042531482482
0.01,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.01,Neck p53+,1469,178,0.0017528311176760218,0.1211708645336964,0.0022751877533256615,-0.37629841395901154
0.01,Nerve,6014,966,0.009512555391432791,0.16062520784835385,0.009314485465282865,0.030356869701391155
0.01,Neuroendocrine,5524,543,0.00534711964549483,0.09829833454018827,0.008555573280715422,-0.6781024686074888
0.01,Neutrophil,21171,3366,0.03314623338257016,0.15899107269377924,0.03278965277444355,0.015604312146991414
0.01,Paneth,419,2,1.9694731659281143e-05,0.00477326968973747,0.0006489473578239974,-5.042148759182987
0.01,Parietal,8314,387,0.003810930576070901,0.04654799133990859,0.012876726331619844,-1.7565503632866415
0.01,Plasma,15464,4637,0.04566223535204333,0.2998577340920848,0.023950649024797842,0.9309367071867373
0.01,Smooth Muscle,56162,5621,0.05535204332840965,0.10008546704177201,0.08698372675444235,-0.6521089365878376
0.01,Squamou p63+ EGFRhi,13701,1176,0.011580502215657311,0.08583315086490037,0.021220113960731715,-0.8737345270059628
0.01,Squamous Annexin A1+,26751,899,0.008852781880846873,0.033606220328212026,0.0414319588762524,-2.226541122256618
0.01,Squamous p63+,24430,364,0.003584441161989168,0.01489971346704871,0.03783719320200539,-3.3999845919321863
0.01,Stroma,69178,14405,0.14185130477597244,0.20823094047240454,0.1071429124571563,0.40484299920278194
0.01,Stroma CD73+,840,16,0.00015755785327424915,0.01904761904761905,0.0013009923164013313,-3.0456508233439474
0.1,B cell,12540,1106,0.021757519721440795,0.08819776714513557,0.019421956723419877,0.1638255392422755
0.1,CD4+ T cell,15029,2493,0.049042944543898646,0.1658793000199614,0.023276920860947153,1.0751453416832049
0.1,CD4+ T cell PD1+,7217,1140,0.022426376566403713,0.1579603713454344,0.011177692318414771,1.004574109558283
0.1,CD4+ Treg,10300,1349,0.02653787893691106,0.13097087378640776,0.015952643879682992,0.734257484588573
0.1,CD8+ T cell,24316,2963,0.05828890681250369,0.12185392334265505,0.0376606299590652,0.6301641986283694
0.1,CD8+ T cell PD1+,7735,941,0.018511596797356047,0.12165481577246283,0.011979970913528926,0.6278048985719563
0.1,Chief,9348,25,0.0004918065036492043,0.0026743688489516476,0.014478185921094816,-4.879643390525778
0.1,DC,2157,377,0.00741644207503,0.17477978674084377,0.003340762412473419,1.150549619459526
0.1,Endothelial,32064,3480,0.06845946530796923,0.10853293413173652,0.04966073527749082,0.4631443942343141
0.1,Endothelial CD36hi,9936,902,0.01774437865166329,0.09078099838969404,0.015388880542575747,0.2054737572607964
0.1,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.1,Epithelial,20968,3146,0.061888930419215865,0.15003815337657384,0.0324752462979799,0.930340900644593
0.1,Epithelial CD73hi,2353,166,0.0032655951842307162,0.07054823629409265,0.003644327286300396,-0.15830652329456882
0.1,Epithelial CK7+,1179,3,5.901678043790451e-05,0.002544529262086514,0.0018260356440918685,-4.951422242358567
0.1,Epithelial CK7+ p53+,48958,5990,0.11783683827434933,0.12234976918991788,0.07582616884092426,0.6360228828083787
0.1,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.1,Epithelial Ki67+ p53+,6008,204,0.004013141069777507,0.03395472703062583,0.009305192663022856,-1.2133039464212725
0.1,Epithelial MUC1+ Ki67+,8133,266,0.005232821198827533,0.032706258453215294,0.01259639346344289,-1.2673496972181573
0.1,Epithelial p53+,7647,104,0.0020459150551806896,0.013600104616189355,0.01184367648038212,-2.5332982525842946
0.1,Epithelial pH2AX+,4907,518,0.010190230755611512,0.10556348074179743,0.007599963448311111,0.4231222880361522
0.1,Foveloar,65508,1731,0.034052682312670904,0.026424253526286866,0.10145881507478383,-1.575053840283148
0.1,Foveloar Ki67+ p53+,714,14,0.00027541164204355437,0.0196078431372549,0.0011058434689411316,-2.0054818035975672
0.1,Foveloar p53+,5754,34,0.0006688568449629178,0.005908932916232186,0.008911797367349119,-3.7359450647494064
0.1,Goblet,8787,262,0.005154132158243661,0.02981677478092637,0.013609308909783928,-1.4007921984899427
0.1,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.1,Goblet p53+,3441,7,0.00013770582102177719,0.002034292356873002,0.005329422096115454,-5.274307444105206
0.1,Lymphatic,9878,1405,0.02763952550508528,0.1422352702976311,0.015299050120728989,0.8532907242977483
0.1,Lymphatic CD73+,431,20,0.0003934452029193634,0.04640371229698376,0.0006675329623440164,-0.7626748539423454
0.1,M1 Macrophage,25157,3229,0.06352172801133123,0.12835393727391978,0.038963171075843205,0.705139046920441
0.1,M2 Macrophage,18904,2022,0.03977731001514764,0.10696148963182395,0.02927852232053663,0.44210295959434653
0.1,Neck,25607,637,0.012531229712981724,0.024876010465888235,0.03966013124534392,-1.662161377097488
0.1,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.1,Neck p53+,1469,91,0.0017901756732831035,0.061946902654867256,0.0022751877533256615,-0.3458842638904723
0.1,Nerve,6014,486,0.00956071843094053,0.0808114399733954,0.009314485465282865,0.03764295171345193
0.1,Neuroendocrine,5524,269,0.005291837979265438,0.048696596669080376,0.008555573280715422,-0.6930955330305885
0.1,Neutrophil,21171,1724,0.033914976491649124,0.08143214774927968,0.03278965277444355,0.04868186692563143
0.1,Paneth,419,0,0.0,0.0,0.0006489473578239974,-19.30774415007943
0.1,Parietal,8314,204,0.004013141069777507,0.024536925667548712,0.012876726331619844,-1.6819618385284072
0.1,Plasma,15464,2370,0.04662325654594456,0.1532591826176927,0.023950649024797842,0.9609849969526487
0.1,Smooth Muscle,56162,2707,0.05325280821513584,0.0481998504326769,0.08698372675444235,-0.7078879049142798
0.1,Squamou p63+ EGFRhi,13701,580,0.011409910884661539,0.04233267644697467,0.021220113960731715,-0.8951448219587173
0.1,Squamous Annexin A1+,26751,506,0.009954163633859894,0.01891518074090688,0.0414319588762524,-2.0573719131020223
0.1,Squamous p63+,24430,209,0.004111502370507347,0.00855505525992632,0.03783719320200539,-3.20206719363963
0.1,Stroma,69178,7146,0.14057797100308855,0.10329873659255832,0.1071429124571563,0.39183411583900774
0.1,Stroma CD73+,840,7,0.00013770582102177719,0.008333333333333333,0.0013009923164013313,-3.23994162324906
0.25,B cell,12540,543,0.02243338153274117,0.04330143540669856,0.019421956723419877,0.20795853713083287
0.25,CD4+ T cell,15029,1254,0.051807477793844245,0.08343868520859671,0.023276920860947153,1.1542600877405982
0.25,CD4+ T cell PD1+,7217,585,0.024168560214831648,0.08105861161147292,0.011177692318414771,1.1125090926563106
0.25,CD4+ Treg,10300,688,0.028423879363767817,0.06679611650485437,0.015952643879682992,0.833307885051826
0.25,CD8+ T cell,24316,1537,0.06349927700888246,0.06320940944234249,0.0376606299590652,0.7536830176435525
0.25,CD8+ T cell PD1+,7735,488,0.020161123734765543,0.06308985132514544,0.011979970913528926,0.7509515993465031
0.25,Chief,9348,14,0.0005783928940301591,0.0014976465554129225,0.014478185921094816,-4.645684815069483
0.25,DC,2157,195,0.008056186738277215,0.09040333796940195,0.003340762412473419,1.2699194868096435
0.25,Endothelial,32064,1747,0.07217517041933484,0.054484780439121756,0.04966073527749082,0.5393969776466648
0.25,Endothelial CD36hi,9936,467,0.019293534393720307,0.04700080515297907,0.015388880542575747,0.32622914950341775
0.25,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.25,Epithelial,20968,1485,0.06135096054534187,0.07082220526516597,0.0324752462979799,0.9177454434380364
0.25,Epithelial CD73hi,2353,74,0.003057219582730841,0.03144921376965576,0.003644327286300396,-0.25343227658445705
0.25,Epithelial CK7+,1179,1,4.131377814501136e-05,0.0008481764206955047,0.0018260356440918685,-5.465913986050849
0.25,Epithelial CK7+ p53+,48958,1885,0.07787647180334642,0.038502389803505045,0.07582616884092426,0.03849169188712182
0.25,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.25,Epithelial Ki67+ p53+,6008,99,0.004090064036356125,0.0164780292942743,0.009305192663022856,-1.1859123927576427
0.25,Epithelial MUC1+ Ki67+,8133,125,0.00516422226812642,0.015369482355834255,0.01259639346344289,-1.2863875620783907
0.25,Epithelial p53+,7647,45,0.0018591200165255113,0.005884660651235779,0.01184367648038212,-2.671424521228339
0.25,Epithelial pH2AX+,4907,253,0.010452385870687874,0.05155899735072346,0.007599963448311111,0.4597678538096436
0.25,Foveloar,65508,834,0.034455690972939476,0.012731269463271662,0.10145881507478383,-1.5580799943840669
0.25,Foveloar Ki67+ p53+,714,8,0.0003305102251600909,0.011204481792717087,0.0011058434689411316,-1.7423773166041319
0.25,Foveloar p53+,5754,21,0.0008675893410452386,0.0036496350364963502,0.008911797367349119,-3.3606306949823366
0.25,Goblet,8787,128,0.005288163602561454,0.014566973938773188,0.013609308909783928,-1.3637549248052816
0.25,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.25,Goblet p53+,3441,3,0.00012394133443503408,0.0008718395815170009,0.005329422096115454,-5.426238419634778
0.25,Lymphatic,9878,689,0.02846519314191283,0.06975096173314436,0.015299050120728989,0.8957567626963128
0.25,Lymphatic CD73+,431,11,0.000454451559595125,0.025522041763341066,0.0006675329623440164,-0.5547115401156395
0.25,M1 Macrophage,25157,1570,0.06486263168766784,0.06240807727471479,0.038963171075843205,0.7352764469325221
0.25,M2 Macrophage,18904,1029,0.04251187771121669,0.05443292424883622,0.02927852232053663,0.5380232245688793
0.25,Neck,25607,317,0.013096467671968601,0.012379427500292889,0.03966013124534392,-1.598511631866661
0.25,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.25,Neck p53+,1469,46,0.0019004337946705225,0.031313818924438394,0.0022751877533256615,-0.25965671247147
0.25,Nerve,6014,243,0.01003924808923776,0.0404057199866977,0.009314485465282865,0.1081032268373505
0.25,Neuroendocrine,5524,133,0.005494732493286511,0.024076755973931933,0.008555573280715422,-0.6388151878362345
0.25,Neutrophil,21171,869,0.03590167320801487,0.041046714845779604,0.03278965277444355,0.13081045461356267
0.25,Paneth,419,0,0.0,0.0,0.0006489473578239974,-19.30774415007943
0.25,Parietal,8314,108,0.004461888039661227,0.012990137118114024,0.012876726331619844,-1.5290394321752154
0.25,Plasma,15464,1223,0.050526750671348895,0.07908691153647181,0.023950649024797842,1.0769826216204235
0.25,Smooth Muscle,56162,1348,0.055690972939475315,0.02400199423097468,0.08698372675444235,-0.6433020148168609
0.25,Squamou p63+ EGFRhi,13701,277,0.011443916546168147,0.020217502372089628,0.021220113960731715,-0.8908514639835935
0.25,Squamous Annexin A1+,26751,271,0.011196033877298079,0.010130462412620089,0.0414319588762524,-1.8877561802020055
0.25,Squamous p63+,24430,116,0.004792398264821318,0.0047482603356528855,0.03783719320200539,-2.9809850981305424
0.25,Stroma,69178,3472,0.14344143771947945,0.050189366561623636,0.1071429124571563,0.4209254318099424
0.25,Stroma CD73+,840,4,0.00016525511258004544,0.004761904761904762,0.0013009923164013313,-2.9768380095153657
0.4,B cell,12540,182,0.022727272727272728,0.014513556618819777,0.019421956723419877,0.2267360036057835
0.4,CD4+ T cell,15029,416,0.05194805194805195,0.027679819016567967,0.023276920860947153,1.1581693879165202
0.4,CD4+ T cell PD1+,7217,195,0.024350649350649352,0.027019537203824304,0.011177692318414771,1.1233378064010064
0.4,CD4+ Treg,10300,216,0.026973026973026972,0.020970873786407766,0.015952643879682992,0.7577218501555599
0.4,CD8+ T cell,24316,529,0.06605894105894106,0.021755222898503044,0.0376606299590652,0.8106966940986781
0.4,CD8+ T cell PD1+,7735,152,0.01898101898101898,0.01965093729799612,0.011979970913528926,0.6639329945884107
0.4,Chief,9348,6,0.0007492507492507493,0.0006418485237483953,0.014478185921094816,-4.27228659029253
0.4,DC,2157,51,0.006368631368631369,0.02364394993045897,0.003340762412473419,0.9308057773960102
0.4,Endothelial,32064,557,0.06955544455544456,0.017371506986027945,0.04966073527749082,0.48605781773501694
0.4,Endothelial CD36hi,9936,172,0.02147852147852148,0.017310789049919485,0.015388880542575747,0.48100637180118694
0.4,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.4,Epithelial,20968,521,0.06505994005994006,0.024847386493704694,0.0324752462979799,1.0024290036000574
0.4,Epithelial CD73hi,2353,21,0.0026223776223776225,0.008924776880577986,0.003644327286300396,-0.4747769262724903
0.4,Epithelial CK7+,1179,0,0.0,0.0,0.0018260356440918685,-20.80028428629974
0.4,Epithelial CK7+ p53+,48958,435,0.05432067932067932,0.008885166877731934,0.07582616884092426,-0.48119430258716367
0.4,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.4,Epithelial Ki67+ p53+,6008,34,0.004245754245754246,0.005659121171770972,0.009305192663022856,-1.1320149696092217
0.4,Epithelial MUC1+ Ki67+,8133,37,0.00462037962037962,0.00454936677732694,0.01259639346344289,-1.446927233316781
0.4,Epithelial p53+,7647,23,0.002872127872127872,0.0030077154439649536,0.01184367648038212,-2.0439247202895103
0.4,Epithelial pH2AX+,4907,84,0.01048951048951049,0.017118402282453638,0.007599963448311111,0.46488291631781714
0.4,Foveloar,65508,283,0.035339660339660336,0.004320083043292422,0.10145881507478383,-1.5215341111319656
0.4,Foveloar Ki67+ p53+,714,5,0.0006243756243756244,0.0070028011204481795,0.0011058434689411316,-0.8246600612335975
0.4,Foveloar p53+,5754,3,0.0003746253746253746,0.0005213764337851929,0.008911797367349119,-4.572192213975719
0.4,Goblet,8787,47,0.005869130869130869,0.00534881074314328,0.013609308909783928,-1.213374885220623
0.4,Goblet Ki67+ p53+,241,0,0.0,0.0,0.00037326089077704863,-18.509828694587206
0.4,Goblet p53+,3441,2,0.00024975024975024975,0.0005812263876780006,0.005329422096115454,-4.41541556900186
0.4,Lymphatic,9878,225,0.028096903096903096,0.022777890261186474,0.015299050120728989,0.8769689967856255
0.4,Lymphatic CD73+,431,4,0.0004995004995004995,0.009280742459396751,0.0006675329623440164,-0.41835223014949935
0.4,M1 Macrophage,25157,516,0.06443556443556443,0.020511189728504988,0.038963171075843205,0.7257460736364294
0.4,M2 Macrophage,18904,347,0.04333166833166833,0.01835590351248413,0.02927852232053663,0.5655790245233565
0.4,Neck,25607,86,0.01073926073926074,0.0033584566720037488,0.03966013124534392,-1.8847946682124497
0.4,Neck Ki67+ p53+,26,0,0.0,0.0,4.026880979337454e-05,-15.29741103755938
0.4,Neck p53+,1469,16,0.001998001998001998,0.010891763104152484,0.0022751877533256615,-0.18742749068722925
0.4,Nerve,6014,87,0.010864135864135864,0.014466245427336216,0.009314485465282865,0.2220254230813108
0.4,Neuroendocrine,5524,49,0.006118881118881119,0.00887038377986966,0.008555573280715422,-0.48359659109204717
0.4,Neutrophil,21171,254,0.03171828171828172,0.011997543809928676,0.03278965277444355,-0.04792600521641232
0.4,Paneth,419,0,0.0,0.0,0.0006489473578239974,-19.30774415007943
0.4,Parietal,8314,32,0.003996003996003996,0.0038489295164782296,0.012876726331619844,-1.6881356817293816
0.4,Plasma,15464,424,0.052947052947052944,0.027418520434557683,0.023950649024797842,1.1444856012632487
0.4,Smooth Muscle,56162,468,0.05844155844155844,0.008333036572771626,0.08698372675444235,-0.5737508627223413
0.4,Squamou p63+ EGFRhi,13701,136,0.016983016983016984,0.009926282753083717,0.021220113960731715,-0.3213396149874829
0.4,Squamous Annexin A1+,26751,180,0.022477522477522476,0.00672872042166648,0.0414319588762524,-0.8822609749877622
0.4,Squamous p63+,24430,76,0.00949050949050949,0.0031109291854277527,0.03783719320200539,-1.9952475139260022
0.4,Stroma,69178,1135,0.14173326673326672,0.01640695018647547,0.1071429124571563,0.40364199657718064
0.4,Stroma CD73+,840,2,0.00024975024975024975,0.002380952380952381,0.0013009923164013313,-2.3810497481457142
0.49,B cell,12540,15,0.02617801047120419,0.0011961722488038277,0.019421956723419877,0.43066688072706355
0.49,CD4+ T cell,15029,25,0.04363001745200698,0.0016634506620533634,0.023276920860947153,0.9064207949239319
0.49,CD4+ T cell PD1+,7217,16,0.027923211169284468,0.0022169876680060967,0.011177692318414771,1.3208424151503246
0.49,CD4+ Treg,10300,9,0.015706806282722512,0.0008737864077669903,0.015952643879682992,-0.02240568212150821
0.49,CD8+ T cell,24316,39,0.06806282722513089,0.0016038822174699787,0.0376606299590652,0.8538099302829969
0.49,CD8+ T cell PD1+,7735,11,0.019197207678883072,0.0014221073044602456,0.011979970913528926,0.6802720290052582
0.49,Chief,9348,1,0.0017452006980802793,0.0001069747539580659,0.014478185921094816,-3.052415259786272
0.49,DC,2157,5,0.008726003490401396,0.0023180343069077423,0.003340762412473419,1.385143399192416
0.49,Endothelial,32064,36,0.06282722513089005,0.001122754491017964,0.04966073527749082,0.339284234137627
0.49,Endothelial CD36hi,9936,12,0.020942408376963352,0.0012077294685990338,0.015388880542575747,0.444539049618825
0.49,Endothelial aSMAhi,914,0,0.0,0.0,0.001415603544274782,-20.43298686744619
0.49,Epithelial,20968,42,0.07329842931937172,0.002003052270125906,0.0324752462979799,1.1744417916870207
0.49,Epithelial CD73hi,2353,3,0.005235602094240838,0.0012749681257968552,0.003644327286300396,0.5227028071561169
0.49,Epithelial CK7+,1179,0,0.0,0.0,0.0018260356440918685,-20.80028428629974
0.49,Epithelial CK7+ p53+,48958,42,0.07329842931937172,0.0008578781812982557,0.07582616884092426,-0.048913547341777955
0.49,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.49,Epithelial Ki67+ p53+,6008,1,0.0017452006980802793,0.00016644474034620507,0.009305192663022856,-2.4146423939135255
0.49,Epithelial MUC1+ Ki67+,8133,1,0.0017452006980802793,0.00012295585884667404,0.01259639346344289,-2.851545154448584
0.49,Epithelial p53+,7647,2,0.0034904013961605585,0.0002615404733882568,0.01184367648038212,-1.7626518352440546
