threshold,cell_type,n_total,n_border,prop_of_border,prop_of_type_border,global_prop,log2_enrichment
0.01,B cell,12540,2956,0.017222293431524486,0.23572567783094098,0.019421956723419877,-0.17341127314917762
0.01,CD4+ T cell,15029,6832,0.039804705251750776,0.4545877969259432,0.023276920860947153,0.7740387268754967
0.01,CD4+ T cell PD1+,7217,2901,0.016901851571330357,0.4019675765553554,0.011177692318414771,0.596558887967058
0.01,CD4+ Treg,10300,4575,0.026654936552511683,0.4441747572815534,0.015952643879682992,0.7406071656962722
0.01,CD8+ T cell,24316,9444,0.055022780503151986,0.3883862477381148,0.0376606299590652,0.5469719016008657
0.01,CD8+ T cell PD1+,7735,2702,0.015742434658991597,0.34932126696832577,0.011979970913528926,0.3940342451140886
0.01,Chief,9348,877,0.005109591116186392,0.09381685922122379,0.014478185921094816,-1.5026009127271633
0.01,DC,2157,805,0.0046901035901140775,0.3732035234121465,0.003340762412473419,0.48944227850628225
0.01,Endothelial,32064,12012,0.06998450226639788,0.374625748502994,0.04966073527749082,0.4949298488320968
0.01,Endothelial CD36hi,9936,3894,0.02268728370174437,0.3919082125603865,0.015388880542575747,0.5599955712477812
0.01,Endothelial aSMAhi,914,25,0.00014565539099733159,0.02735229759299781,0.001415603544274782,-3.280777388696417
0.01,Epithelial,20968,6000,0.03495729383935958,0.28615032430370085,0.0324752462979799,0.10625303480727145
0.01,Epithelial CD73hi,2353,313,0.0018236054952865915,0.13302167445813853,0.003644327286300396,-0.9988584721369925
0.01,Epithelial CK7+,1179,6,3.495729383935958e-05,0.005089058524173028,0.0018260356440918685,-5.706937131796238
0.01,Epithelial CK7+ p53+,48958,9011,0.0525000291310782,0.18405572123044242,0.07582616884092426,-0.5303776000431346
0.01,Epithelial HLADR+,67,0,0.0,0.0,0.00010376962523677285,-16.663038586506012
0.01,Epithelial Ki67+ p53+,6008,1516,0.008832542910078189,0.25233022636484687,0.009305192663022856,-0.07520716013984652
0.01,Epithelial MUC1+ Ki67+,8133,1320,0.007690604644659108,0.16230173367760975,0.01259639346344289,-0.7118417203468788
0.01,Epithelial p53+,7647,2092,0.012188443118656708,0.27357133516411664,0.01184367648038212,0.04139686496466539
0.01,Epithelial pH2AX+,4907,1437,0.00837227187452662,0.29284695333197475,0.007599963448311111,0.13962666378481262
0.01,Foveloar,65508,7180,0.041832228294433636,0.1096049337485498,0.10145881507478383,-1.2782074425823464
0.01,Foveloar Ki67+ p53+,714,39,0.00022722240995583728,0.0546218487394958,0.0011058434689411316,-2.2829651096202035
