cell_id,x,y,cell_type,unique_region,true_organization,true_border,true_border_operational,signed_distance,distance_from_border,window_frac_B,Neighborhood
0,205.04530984908342,1322.7587663568556,1,1,A,False,False,-360.59566230070504,360.59566230070504,0.0,A
1,1067.4690501764417,599.4057822972536,3,1,B,False,False,342.4800530165924,342.4800530165924,1.0,B
2,1403.731354046613,537.9970245994627,7,1,B,False,False,766.9119029923863,766.9119029923863,1.0,B
3,852.7735155075788,221.0998423397541,5,1,A,True,True,-6.514162481733573,6.514162481733573,0.5,B
4,334.3837670981884,695.6341559998691,8,1,A,False,False,-279.6957072815183,279.6957072815183,0.0,A
5,1085.6893071904778,1120.3906475566328,4,1,B,False,False,306.853442473298,306.853442473298,1.0,B
6,89.63628765195608,472.4977291189134,6,1,A,False,False,-497.1796157228728,497.1796157228728,0.0,A
7,541.5595080703497,887.5331156887114,8,1,A,False,False,-325.31240277476326,325.31240277476326,0.0,A
8,1104.3256781995296,1191.5543116629124,3,1,B,False,False,446.8386481120377,446.8386481120377,1.0,B
9,195.02712646499276,886.663697194308,7,1,A,False,False,-670.0842290125247,670.0842290125247,0.0,A
10,499.7902507893741,504.12381486967206,6,1,A,False,False,-129.72460068374266,129.72460068374266,0.0,A
11,566.613417584449,605.9974269010127,6,1,A,True,False,-76.2113697651668,76.2113697651668,0.0,A
12,402.9150204733014,1183.009648695588,1,1,A,False,False,-218.932391868569,218.932391868569,0.0,A
13,912.2393536381423,778.7484275177121,5,1,B,True,False,65.2219557218951,65.2219557218951,1.0,B
14,364.4019076600671,25.126602966338396,1,1,A,False,False,-284.45981270660246,284.45981270660246,0.0,A
15,553.292874712497,246.23275268822908,8,1,A,False,False,-246.48332263144545,246.48332263144545,0.0,A
16,528.2251741737127,145.57810267433524,1,1,A,False,False,-325.01239604237,325.01239604237,0.0,A
17,933.3601179532707,825.0715769827366,2,1,B,True,False,68.15302157857073,68.15302157857073,1.0,A
18,252.7096546255052,1232.6772739179432,8,1,A,False,False,-376.54096132756854,376.54096132756854,0.0,A
19,845.9896501153708,923.5313180834055,4,1,A,True,True,-11.656103773695868,11.656103773695868,0.45,A
